,id,mode_score_flexibel,missing_from_mode_flexibel,flexibel_Geschichtslyrik,flexibel_empirisch,flexibel_nicht theoretisch,flexibel_Ballade (exakt),flexibel_Sprechinstanz nicht markiert,flexibel_Sprechinstanz Zeit unklar,flexibel_Erzählen (exakt),flexibel_Präsens und Präiteritum,flexibel_Konkretheit,flexibel_keine Positionierung zum Wissen,flexibel_vergangenheitsomdinant,flexibel_2 Zeitebenen (exakt),flexibel_zeitlich fixierbar,flexibel_Beginn ab 1500,flexibel_Ende bis 2000,flexibel_keine Anachronismen,flexibel_kein Gegenwartsbezug,flexibel_Europa (exakt),flexibel_deutscher Mittelraum (exakt),flexibel_Kein Kleinraum,flexibel_Handlung (exakt),flexibel_Krieg (u. a.),flexibel_positive Bewertung von Krieg (u. a.),flexibel_bekanntes Individuum (u. a.),flexibel_positive Bewertung von bekanntem Individuum (u. a.),flexibel_kein Nationalismus,flexibel_kein Heroismus,flexibel_keine Religiosität,flexibel_Personen-Marker (irgendwo),flexibel_keine Zeit-/Geschichts-Marker,flexibel_keine Ort-Marker,flexibel_Objekt-/Institutionen-Marker (irgendwo),flexibel_kein Bezug auf Überlieferung,flexibel_keine Bewertung von Überlieferung,flexibel_kein Bezug auf Geschichtsauffassungen,flexibel_keine Bewertung von Geschichtsauffassungen,flexibel_Ergänzung des Geschichtswissens,flexibel_Reim,flexibel_regelmäßiges Metrum,flexibel_keine verfremdende Sprache
10,1852.Böttger.4(1862).069,30.0,flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_keine Ort-Marker + flexibel_kein Bezug auf Überlieferung + flexibel_keine Bewertung von Überlieferung,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1852.Böttger.4(1862).071,32.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Präsens und Präiteritum + flexibel_Beginn ab 1500 + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_kein Heroismus + flexibel_keine Religiosität,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1852.Böttger.4(1862).078,31.0,flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_Objekt-/Institutionen-Marker (irgendwo) + flexibel_kein Bezug auf Geschichtsauffassungen + flexibel_keine Bewertung von Geschichtsauffassungen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
13,1852.Böttger.4(1862).082,30.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Religiosität + flexibel_keine Zeit-/Geschichts-Marker,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1852.Böttger.4(1862).086,32.0,flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1852.Böttger.4(1862).101,35.0,flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1852.Böttger.4(1862).109,24.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Präsens und Präiteritum + flexibel_Konkretheit + flexibel_2 Zeitebenen (exakt) + flexibel_keine Anachronismen + flexibel_Kein Kleinraum + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_keine Religiosität + flexibel_Ergänzung des Geschichtswissens,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
17,1852.Böttger.4(1862).117,35.0,flexibel_Präsens und Präiteritum + flexibel_keine Positionierung zum Wissen + flexibel_Kein Kleinraum + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_kein Heroismus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1852.Böttger.4(1862).129,36.0,flexibel_Präsens und Präiteritum + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_kein Heroismus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1852.Böttger.4(1862).136,29.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Präsens und Präiteritum + flexibel_zeitlich fixierbar + flexibel_Kein Kleinraum + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1852.Böttger.4(1862).150,33.0,flexibel_Ballade (exakt) + flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_kein Heroismus + flexibel_keine Ort-Marker,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1852.Böttger.4(1862).151,33.0,flexibel_Ballade (exakt) + flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_deutscher Mittelraum (exakt) + flexibel_Handlung (exakt) + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1852.Böttger.4(1862).152,27.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_kein Gegenwartsbezug + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_Handlung (exakt) + flexibel_kein Nationalismus + flexibel_kein Heroismus + flexibel_keine Ort-Marker + flexibel_kein Bezug auf Überlieferung + flexibel_keine Bewertung von Überlieferung,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1852.Kurz.296,34.0,flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_kein Heroismus + flexibel_keine Religiosität,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1852.Kurz.300,30.0,flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Präsens und Präiteritum + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_kein Heroismus + flexibel_keine Zeit-/Geschichts-Marker + flexibel_keine Ort-Marker,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1852.Kurz.304,31.0,flexibel_Präsens und Präiteritum + flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_kein Heroismus + flexibel_keine Zeit-/Geschichts-Marker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1853.Gebhart.147,21.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Präsens und Präiteritum + flexibel_Konkretheit + flexibel_vergangenheitsomdinant + flexibel_zeitlich fixierbar + flexibel_kein Gegenwartsbezug + flexibel_deutscher Mittelraum (exakt) + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_Personen-Marker (irgendwo) + flexibel_keine Zeit-/Geschichts-Marker + flexibel_Objekt-/Institutionen-Marker (irgendwo) + flexibel_Ergänzung des Geschichtswissens,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
27,1854.Gruppe.013,35.0,flexibel_2 Zeitebenen (exakt) + flexibel_Beginn ab 1500 + flexibel_deutscher Mittelraum (exakt) + flexibel_Kein Kleinraum + flexibel_positive Bewertung von Krieg (u. a.),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1854.Gruppe.024,27.0,flexibel_Ballade (exakt) + flexibel_Sprechinstanz nicht markiert + flexibel_Sprechinstanz Zeit unklar + flexibel_Erzählen (exakt) + flexibel_Konkretheit + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Religiosität + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1854.Gruppe.044,35.0,flexibel_Präsens und Präiteritum + flexibel_Beginn ab 1500 + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1854.Gruppe.088,31.0,flexibel_Konkretheit + flexibel_Beginn ab 1500 + flexibel_Kein Kleinraum + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_keine Religiosität + flexibel_keine Zeit-/Geschichts-Marker + flexibel_keine Ort-Marker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1854.Gruppe.106,32.0,flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Kein Kleinraum + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_bekanntes Individuum (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_keine Zeit-/Geschichts-Marker,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1854.Gruppe.109.1,31.0,flexibel_Erzählen (exakt) + flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Handlung (exakt) + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_positive Bewertung von bekanntem Individuum (u. a.) + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1854.Gruppe.109.2,35.0,flexibel_Präsens und Präiteritum + flexibel_zeitlich fixierbar + flexibel_Beginn ab 1500 + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1854.Gruppe.118,33.0,flexibel_2 Zeitebenen (exakt) + flexibel_zeitlich fixierbar + flexibel_Krieg (u. a.) + flexibel_positive Bewertung von Krieg (u. a.) + flexibel_kein Heroismus + flexibel_keine Religiosität + flexibel_Objekt-/Institutionen-Marker (irgendwo),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
